Boleta,Fecha,Camion,Material,Toneladas
86dw1nyjv,21/01/2025,,ACOLCHADO VEGETAL,6.8
86dw1nyp8,22/01/2025,,ACOLCHADO VEGETAL,4.6
86dw1nyrt,23/01/2025,,ACOLCHADO VEGETAL,12.65
86dw1nyw3,24/01/2025,,ACOLCHADO VEGETAL,27.41
86dw1nyyf,25/01/2025,,ACOLCHADO VEGETAL,7.2
86dw1nyzt,27/01/2025,,ACOLCHADO VEGETAL,19
86dw1nz1q,28/01/2025,,ACOLCHADO VEGETAL,24.85
86dw1p012,29/01/2025,,ACOLCHADO VEGETAL,23.75
86dw1p01t,30/01/2025,,ACOLCHADO VEGETAL,16.21
86dw1p02g,31/01/2025,,ACOLCHADO VEGETAL,10.1
86dw1p03f,3/2/2025,,ACOLCHADO VEGETAL,2.77
86dw1p04k,4/2/2025,,ACOLCHADO VEGETAL,22.69
86dw1p05a,5/2/2025,,ACOLCHADO VEGETAL,18.94
86dw1p06e,6/2/2025,,ACOLCHADO VEGETAL,10.98
86dw1p086,7/2/2025,,ACOLCHADO VEGETAL,2.22
86dw1p0a5,8/2/2025,,ACOLCHADO VEGETAL,2.02
86dw1p0an,10/2/2025,,ACOLCHADO VEGETAL,27.22
86dw1p0ga,11/2/2025,,ACOLCHADO VEGETAL,2.04
86dw1p0h7,12/2/2025,,ACOLCHADO VEGETAL,223.36
86dw1p0j1,13/02/2025,,ACOLCHADO VEGETAL,7.78
86dw1p0nk,14/02/2025,,ACOLCHADO VEGETAL,20.69
86dw3qnnt,17/02/2025,,ACOLCHADO VEGETAL,18.01
86dw3qntb,18/02/2025,,ACOLCHADO VEGETAL,32.22
86dw3qny8,19/02/2025,,ACOLCHADO VEGETAL,8.14
86dw3qp1k,22/02/2025,,ACOLCHADO VEGETAL,1.55
86dw3qp47,24/02/2025,,ACOLCHADO VEGETAL,6.25
86dw3qp7n,25/02/2025,,ACOLCHADO VEGETAL,33.04
86dw7xfz4,5/3/2025,,ACOLCHADO VEGETAL,16.41
86dw7xga9,6/3/2025,,ACOLCHADO VEGETAL,3
86dw7xgez,7/3/2025,,ACOLCHADO VEGETAL,29.08
86dw7xgh3,8/3/2025,,ACOLCHADO VEGETAL,5.89
86dw7xgk8,10/3/2025,,ACOLCHADO VEGETAL,16.64
86dw7xgp7,11/3/2025,,ACOLCHADO VEGETAL,20.02
86dw9ykwd,12/3/2025,,ACOLCHADO VEGETAL,12
86dw9ykyx,13/03/2025,,ACOLCHADO VEGETAL,10.65
86dw9ym2a,14/03/2025,,ACOLCHADO VEGETAL,3.1
86dw9ym3z,15/03/2025,,ACOLCHADO VEGETAL,0.96
